"Id";"Designador";"Footprint";"Quantidade";"Designação";"Fornecedor e referência";
1;"C8,C10,C14,C6,C11,C12,C17,C16,C13";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";9;"100nF";;;
2;"C2,C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"12pF";;;
3;"C5";"CP_Radial_D5.0mm_P2.50mm";1;"220x16";;;
4;"Y2";"Crystal_SMD_Abracon_ABS25 Vertical";1;"CRYSTAL ABS25";;;
5;"D3,D4";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"LED";;;
6;"Y1";"Crystal_HC49-4H_Vertical";1;"25Mhz";;;
7;"C3,C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"4.3pF";;;
8;"C7,C9";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10uF";;;
9;"U1";"SOT-223-3_TabPin2";1;"LM1117MP-3.3";;;
10;"J1";"PinHeader_1x04_P2.54mm_Vertical";1;"GRAV";;;
11;"R3,R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"470R";;;
12;"U2";"LQFP-64_10x10mm_P0.5mm";1;"STM32G431RBTx";;;
13;"D1,D2";"D_SMA";2;"US1M";;;
14;"U3";"SOIC-8_3.9x4.9mm_P1.27mm";1;"24LC64";;;
15;"R4,R7,R5,R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"4k7";;;
16;"J2";"PinHeader_1x25_P2.54mm_Vertical";1;"LADO ESQ";;;
17;"J3";"PinHeader_1x25_P2.54mm_Vertical";1;"LADO DIR";;;
18;"D5";"D_SMA";1;"SMAJ6.5CA";;;
19;"R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10k";;;
