"Id";"Designador";"Footprint";"Quantidade";"Designação";"Fornecedor e referência";
1;"U4";"SOT-23";1;"BD48KxxG";;;
2;"R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"0R";;;
3;"D6";"D_MiniMELF";1;"SMAJ6.5CA";;;
4;"C18,C9,C11";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"10uF";;;
5;"C17,C10,C8,C14,C12,C15,C13,C16,C6,C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";10;"100nF";;;
6;"C7";"CP_Radial_D5.0mm_P2.50mm";1;"220x16";;;
7;"C5,C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"4.3pF";;;
8;"C3,C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"12pF";;;
9;"D2,D1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"LED";;;
10;"Y1";"Crystal_HC49-4H_Vertical";1;"25Mhz";;;
11;"U3";"SOT-223-3_TabPin2";1;"LM1117MP-3.3";;;
12;"J1";"PinHeader_1x04_P2.54mm_Vertical";1;"GRAV";;;
13;"R2,R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"470R";;;
14;"U1";"LQFP-64_10x10mm_P0.5mm";1;"STM32G431RBTx";;;
15;"Y2";"Crystal_SMD_Abracon_ABS25 Vertical";1;"CRYSTAL ABS25";;;
16;"D3,D4";"D_SMA";2;"US1M";;;
17;"U2";"SOIC-8_3.9x4.9mm_P1.27mm";1;"24LC64";;;
18;"R7,R5,R6,R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"4k7";;;
19;"J3,J2";"PinHeader_1x25_P2.54mm_Vertical";2;"LADO DIR";;;
20;"D5";"D_SMA";1;"SMAJ6.5CA";;;
21;"R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10k";;;
